"ASX code","Company name","Listing date","GICs industry group","Market Cap"
"AGE","ALLIGATOR ENERGY LIMITED","2011-02-03","Energy",92355093
"AGG","ANGLOGOLD ASHANTI LIMITED","1999-11-16","Materials",9802561613
"AGH","ALTHEA GROUP HOLDINGS LIMITED","2018-09-21","Pharmaceuticals, Biotechnology & Life Sciences",83959533
"AGI","AINSWORTH GAME TECHNOLOGY LIMITED","2001-12-17","Consumer Services",360369504
"AGJ","AGRICULTURAL LAND TRUST","2003-04-10","Real Estate","N/A"
"AGL","AGL ENERGY LIMITED.","2006-10-12","Utilities",5738141215
"AGN","ARGENICA THERAPEUTICS LIMITED","2021-06-11","Pharmaceuticals, Biotechnology & Life Sciences",13536866
"AGR","AGUIA RESOURCES LIMITED","2008-02-13","Materials",20608656
"AGS","ALLIANCE RESOURCES LIMITED","1994-10-19","Materials",30162484
"AGY","ARGOSY MINERALS LIMITED","1997-04-03","Materials",125027170
"AHC","AUSTCO HEALTHCARE LIMITED","2004-09-24","Health Care Equipment & Services",34102674
"AHF","AUSTRALIAN DAIRY NUTRITIONALS GROUP","2006-06-30","Food, Beverage & Tobacco",25586616
"AHI","ADVANCED HUMAN IMAGING LTD","2015-08-17","Software & Services",173862236
"AHK","ARK MINES LIMITED","2011-05-09","Materials","N/A"
"AHN","ATHENA RESOURCES LIMITED","2006-11-22","Materials","N/A"
"AHQ","ALLEGIANCE COAL LIMITED","2012-05-29","Materials",190469858
"AHX","APIAM ANIMAL HEALTH LIMITED","2015-12-15","Health Care Equipment & Services",125452722
"AHY","ASALEO CARE LIMITED","2014-06-27","Household & Personal Products","N/A"
"AIA","AUCKLAND INTERNATIONAL AIRPORT LIMITED","1999-02-22","Transportation",10028073243
"AIB","AURORA GLOBAL INCOME TRUST","2007-12-24","Not Applic",696679
"AII","ALMONTY INDUSTRIES INC.",,"Class Pend",0
"AIM","ACCESS INNOVATION HOLDINGS LIMITED","2020-09-15","Commercial & Professional Services",170458296
"AIQ","ALTERNATIVE INVESTMENT TRUST","2005-05-08","Not Applic",33611706
"AIR","ASTIVITA LIMITED","2009-12-16","Capital Goods",22376389
"AIS","AERIS RESOURCES LIMITED","2011-02-02","Materials",441470552
"AIV","ACTIVEX LIMITED","2006-04-11","Materials",30112555
"AIY","AUTHORISED INVESTMENT FUND LIMITED","1999-03-19","Not Applic","N/A"
"AIZ","AIR NEW ZEALAND LIMITED","1997-10-01","Transportation",1656195236
"AJJ","ASIAN AMERICAN MEDICAL GROUP LIMITED","2007-03-19","Health Care Equipment & Services",11823594
"AJL","AJ LUCAS GROUP LIMITED","1999-08-10","Capital Goods",32299739
"AJM","ALTURA MINING LIMITED","2001-01-08","Materials","N/A"
"AJQ","ARMOUR ENERGY LIMITED","2012-04-26","Energy",36715587
"AJX","ALEXIUM INTERNATIONAL GROUP LIMITED","1999-12-22","Materials",30089271
"AJY","ASAPLUS RESOURCES LIMITED","2012-11-16","Materials",8160000
"AKG","ACADEMIES AUSTRALASIA GROUP LIMITED","1977-06-01","Consumer Services",36370123
"AKL","AUCKLAND REAL ESTATE TRUST","2005-09-23","Real Estate",61863456
"AKM","ASPIRE MINING LIMITED","2007-02-06","Materials",37057500
"AKN","AUKING MINING LIMITED","2007-10-29","Materials",8741999
"AKO","AKORA RESOURCES LIMITED","2020-12-15","Materials",14648813
"AKP","AUDIO PIXELS HOLDINGS LIMITED","2004-12-24","Consumer Durables & Apparel",759079636
"AL3","AML3D LIMITED","2020-04-20","Capital Goods",27825551
"AL8","ALDERAN RESOURCES LIMITED","2017-06-09","Materials",14301172
"ALB","ALBION RESOURCES LIMITED","2021-04-30","Materials",8360000
"ALC","ALCIDION GROUP LIMITED","2011-06-24","Health Care Equipment & Services",440189002
"ALD","AMPOL LIMITED","1980-12-31","Energy",6934591081
"ALG","ARDENT LEISURE GROUP LIMITED","2018-11-30","Consumer Services",450923655
"ALI","ARGO GLOBAL LISTED INFRASTRUCTURE LIMITED","2015-07-03","Not Applic",328293886
"ALK","ALKANE RESOURCES LIMITED","1980-10-07","Materials",648973792
"ALL","ARISTOCRAT LEISURE LIMITED","1996-07-09","Consumer Services",27457398450
"ALQ","ALS LIMITED","1952-07-18","Commercial & Professional Services",6189522616
"ALT","ANALYTICA LIMITED","2000-10-25","Health Care Equipment & Services",9227602
"ALU","ALTIUM LIMITED","1999-08-04","Software & Services",4789829081
"ALX","ATLAS ARTERIA","2010-01-25","Transportation",6108946100
"ALY","ALCHEMY RESOURCES LIMITED","2007-11-26","Materials",10083652
"AM7","ARCADIA MINERALS LIMITED",,"Materials",0
"AMA","AMA GROUP LIMITED","2006-08-31","Commercial & Professional Services",419831046
"AMC","AMCOR PLC","1969-08-28","Materials",23628592005
"AMD","ARROW MINERALS LTD","2005-10-28","Materials",9992863
"AME","ALTO METALS LIMITED","2012-12-20","Materials",41423896
"AMH","AMCIL LIMITED","2000-02-10","Not Applic",354009891
"AMI","AURELIA METALS LIMITED","2007-05-08","Materials",450680054
"AML","AEON METALS LIMITED.","2007-06-14","Materials",48785020
"AMN","AGRIMIN LIMITED","2007-10-09","Materials",101322703
"AMO","AMBERTECH LIMITED","2004-12-10","Technology Hardware & Equipment",16473657
"AMP","AMP LIMITED","1998-06-15","Diversified Financials",4055187104
"AMS","ATOMOS LIMITED","2018-12-28","Consumer Durables & Apparel",215205668
"AMT","ALLEGRA ORTHOPAEDICS LIMITED","2007-12-05","Health Care Equipment & Services",26637097
"AMX","AEROMETREX LIMITED","2019-12-10","Commercial & Professional Services",75520000
"AND","ANSARADA GROUP LIMITED","2020-02-14","Software & Services",103792241
"ANG","AUSTIN ENGINEERING LIMITED","2004-03-09","Capital Goods",81210404
"ANL","AMANI GOLD LIMITED","2006-12-14","Materials",12386997
"ANN","ANSELL LIMITED","1985-08-22","Health Care Equipment & Services",5417838952
"ANO","ADVANCE NANOTEK LIMITED","2005-02-24","Materials",220755906
"ANP","ANTISENSE THERAPEUTICS LIMITED","2001-12-20","Pharmaceuticals, Biotechnology & Life Sciences",112022887
"ANR","ANATARA LIFESCIENCES LTD","2014-10-16","Pharmaceuticals, Biotechnology & Life Sciences",10184586
"ANW","AUS TIN MINING LTD","2010-10-21","Materials",12716787
"ANX","ANAX METALS LIMITED","2004-06-15","Materials",25563424
"ANZ","AUSTRALIA AND NEW ZEALAND BANKING GROUP LIMITED","1969-09-30","Banks",81610138824
"AO1","ASSETOWL LIMITED","2011-05-30","Software & Services",4869031
"AOA","AUSMON RESOURCES LIMITED","2009-03-31","Materials",3765797
"AOF","AUSTRALIAN UNITY OFFICE FUND","2016-06-20","Real Estate",414246261
"AON","APOLLO MINERALS LIMITED","2007-10-31","Materials",36695873
"AOP","APOLLO CONSOLIDATED LIMITED","2005-06-29","Materials",81093765
"AOU","AUROCH MINERALS LTD","2011-09-01","Materials",40386569
"APA","APA GROUP","2000-06-13","Utilities",11055605356
"APC","AUSTRALIAN POTASH LIMITED","2011-12-20","Materials",78304727
"APD","APN PROPERTY GROUP","2005-06-23","Real Estate",299888719
"APE","EAGERS AUTOMOTIVE LIMITED","1957-04-17","Retailing",4085236385
"APG","AUSTPAC RESOURCES NL","1986-07-24","Materials","N/A"
"APH","AUSTRALIAN PRIMARY HEMP LIMITED","2003-12-23","Food, Beverage & Tobacco",37192977
"API","AUSTRALIAN PHARMACEUTICAL INDUSTRIES LIMITED","1997-06-16","Health Care Equipment & Services",544384919
"APL","ANTIPODES GLOBAL INVESTMENT COMPANY LTD","2016-10-18","Not Applic",543393682
"APT","AFTERPAY LIMITED","2017-06-29","Software & Services",34491468189
"APV","APPSVILLAGE AUSTRALIA LIMITED","2019-08-27","Software & Services",7343167
"APW","AIMS PROPERTY SECURITIES FUND","2004-12-17","Real Estate",51739576
"APX","APPEN LIMITED","2015-01-07","Software & Services",1687260662
"APZ","ASPEN GROUP","1991-04-11","Real Estate",152442075
"AQC","AUSTRALIAN PACIFIC COAL LIMITED","1999-12-17","Materials",8834842
"AQD","AUSQUEST LIMITED","2003-11-25","Materials",17286986
"AQI","ALICANTO MINERALS LIMITED","2012-09-19","Materials",37704758
"AQN","AQUIRIAN LIMITED",,"Class Pend",0
"AQR","APN CONVENIENCE RETAIL REIT","2017-07-27","Real Estate",456690149
"AQS","AQUIS ENTERTAINMENT LIMITED","2011-12-02","Consumer Services",72205010
"AQX","ALICE QUEEN LIMITED","2004-09-09","Materials",17312213
"AQZ","ALLIANCE AVIATION SERVICES LIMITED","2011-12-20","Transportation",677210898
"AR3","AUSTRALIAN RARE EARTHS LIMITED",,"Materials",0
"AR9","ARCHTIS LIMITED","2018-09-21","Software & Services",55577039
"ARA","ARIADNE AUSTRALIA LIMITED","1982-10-12","Commercial & Professional Services",104008451
"ARB","ARB CORPORATION LIMITED.","1987-06-26","Automobiles & Components",3678807989
"ARC","AUSTRALIAN RURAL CAPITAL LIMITED","2000-04-14","Diversified Financials",7295206
"ARD","ARGENT MINERALS LIMITED","2008-04-03","Materials",38581361
"ARE","ARGONAUT RESOURCES NL","1986-01-23","Materials",27046536
"ARF","ARENA REIT.","2013-06-13","Real Estate",1178699431
"ARG","ARGO INVESTMENTS LIMITED","1963-03-31","Not Applic",6409421093
"ARL","ARDEA RESOURCES LIMITED","2017-02-09","Materials",67665408
"ARN","ALDORO RESOURCES LIMITED","2018-09-13","Materials",24154861
"ARO","ASTRO RESOURCES NL","1986-08-14","Materials",15056772
"ARR","AMERICAN RARE EARTHS LIMITED","2011-02-17","Materials",27720783
"ART","AIRTASKER LIMITED","2021-03-23","Media & Entertainment",477871273
"ARU","ARAFURA RESOURCES LIMITED","2003-11-05","Materials",199032730
"ARV","ARTEMIS RESOURCES LIMITED","2007-03-16","Materials",70279868
"ARX","AROA BIOSURGERY LIMITED","2020-07-24","Pharmaceuticals, Biotechnology & Life Sciences",304086872
"AS1","ANGEL SEAFOOD HOLDINGS LTD","2018-02-21","Food, Beverage & Tobacco",21004731
"AS2","ASKARI METALS LIMITED",,"Materials",0
"ASB","AUSTAL LIMITED","1998-12-08","Capital Goods",751476335
"ASG","AUTOSPORTS GROUP LIMITED.","2016-11-16","Retailing",492450000
"ASH","ASHLEY SERVICES GROUP LIMITED","2014-08-21","Commercial & Professional Services",66228916
"ASM","AUSTRALIAN STRATEGIC MATERIALS LIMITED","2020-07-30","Materials",892838438
"ASN","ANSON RESOURCES LIMITED","2010-07-08","Materials",53655459
"ASO","ASTON MINERALS LIMITED","2011-03-04","Materials",138358627
"ASP","ASPERMONT LIMITED.","2000-04-27","Media & Entertainment",62935191
"ASQ","AUSTRALIAN SILICA QUARTZ GROUP LTD","2007-10-22","Materials",32159245
"AST","AUSNET SERVICES LIMITED","2005-12-14","Utilities",6785199786
"ASW","ADVANCED SHARE REGISTRY LIMITED","2008-06-10","Diversified Financials",38681550
"ASX","ASX LIMITED","1998-10-14","Diversified Financials",15059767652
"AT1","ATOMO DIAGNOSTICS LIMITED","2020-04-16","Health Care Equipment & Services",85289671
"ATC","ALTECH CHEMICALS LTD","2010-01-27","Materials",63037625
"ATH","ALTERITY THERAPEUTICS LIMITED","2000-03-28","Pharmaceuticals, Biotechnology & Life Sciences",57310459
"ATL","APOLLO TOURISM & LEISURE LTD","2016-11-04","Automobiles & Components",75391118
"ATM","ANEKA TAMBANG (PERSERO) TBK (PT)","1999-08-09","Materials","N/A"
"ATP","ATLAS PEARLS LTD","1993-12-31","Consumer Durables & Apparel",6418076
"ATR","ASTRON CORPORATION LIMITED","1983-11-11","Materials",71036705
"ATS","AUSTRALIS OIL & GAS LIMITED","2016-07-25","Energy",60573182
"ATU","ATRUM COAL LIMITED","2012-07-24","Materials",16294086
"ATX","AMPLIA THERAPEUTICS LIMITED","2013-12-23","Pharmaceuticals, Biotechnology & Life Sciences",28084802
"AU1","THE AGENCY GROUP AUSTRALIA LTD","2007-12-18","Real Estate",21428829
"AUA","AUDEARA LIMITED","2021-05-18","Consumer Durables & Apparel",12600000
"AUB","AUB GROUP LIMITED","2005-11-16","Insurance",1600419436
"AUC","AUSGOLD LIMITED","2009-12-16","Materials",68170030
"AUH","AUSTCHINA HOLDINGS LIMITED","2003-03-17","Energy",11438871
"AUI","AUSTRALIAN UNITED INVESTMENT COMPANY LIMITED","1974-01-01","Not Applic",1230814226
"AUK","AUMAKE LIMITED.","2011-12-07","Retailing",14521863
"AUL","AUSTAR GOLD LIMITED","2006-11-22","Materials",22377528
"AUN","AURUMIN LIMITED","2020-12-09","Materials",16914382
"AUP","AURORA PROPERTY BUY-WRITE INCOME TRUST","2007-07-26","Not Applic","N/A"
"AUQ","ALARA RESOURCES LIMITED","2007-05-24","Materials",9876009
"AUR","AURIS MINERALS LIMITED","2001-03-15","Materials",27644306
"AUT","AUTECO MINERALS LTD","2005-09-21","Materials",138375852
"AUZ","AUSTRALIAN MINES LIMITED","2001-09-28","Materials",91113439
"AV1","ADVERITAS LIMITED","2012-12-18","Software & Services",35533385
"AVA","AVA RISK GROUP LIMITED","2015-05-11","Technology Hardware & Equipment",91819173
"AVC","AUCTUS INVESTMENT GROUP LIMITED","2011-08-10","Diversified Financials",66348602
"AVE","AVECHO BIOTECHNOLOGY LIMITED","1993-08-09","Pharmaceuticals, Biotechnology & Life Sciences",32920104
"AVG","AUSTRALIAN VINTAGE LTD","1992-03-26","Food, Beverage & Tobacco",221759376
"AVH","AVITA MEDICAL INC.","2020-06-24","Pharmaceuticals, Biotechnology & Life Sciences",714232886
"AVJ","AVJENNINGS LIMITED","1994-01-27","Real Estate",257956512
"AVL","AUSTRALIAN VANADIUM LIMITED","2007-02-21","Materials",58623176
"AVN","AVENTUS GROUP","2015-10-16","Real Estate",1761258297
"AVR","ANTERIS TECHNOLOGIES LTD","2004-03-24","Health Care Equipment & Services",48895035
"AVW","AVIRA RESOURCES LTD","2013-01-09","Materials",8250240
"AVZ","AVZ MINERALS LIMITED","2007-09-14","Materials",479517254
"AWC","ALUMINA LIMITED","1961-10-31","Materials",4686215488
"AWJ","AURIC MINING LIMITED","2021-02-12","Materials",13031806
"AWN","AWN HOLDINGS LIMITED","2003-06-04","Capital Goods",35640180
"AWV","ANOVA METALS LIMITED","2011-05-18","Materials",28661884
"AX1","ACCENT GROUP LIMITED","2004-07-07","Retailing",1452202796
"AX8","ACCELERATE RESOURCES LIMITED","2018-02-14","Materials",5489673
"AXE","ARCHER MATERIALS LIMITED","2007-08-14","Materials",167217311
"AXI","AXIOM PROPERTIES LIMITED","1997-01-31","Real Estate",30289956
"AXT","ARGO EXPLORATION LIMITED","2006-12-11","Materials","N/A"
"AYI","A1 INVESTMENTS & RESOURCES LTD","2007-10-02","Diversified Financials",16421946
"AYM","AUSTRALIA UNITED MINING LIMITED","2011-09-19","Materials",14740620
"AZI","ALTA ZINC LIMITED","2009-12-24","Materials",19768560
"AZJ","AURIZON HOLDINGS LIMITED","2010-11-22","Transportation",6884232893
"AZS","AZURE MINERALS LIMITED","2003-12-16","Materials",78561859
"AZY","ANTIPA MINERALS LIMITED","2011-04-20","Materials",137781084
"BAP","BAPCOR LIMITED","2014-04-24","Retailing",2857853250
"BAR","BARRA RESOURCES LIMITED","2000-12-12","Materials",12874554
"BAS","BASS OIL LIMITED","2004-09-30","Energy",6684280
"BAT","BATTERY MINERALS LIMITED","2012-10-29","Materials",34701650
"BBC","BNK BANKING CORPORATION LIMITED","2012-05-22","Banks",83356802
"BBL","BRISBANE BRONCOS LIMITED","1989-05-12","Media & Entertainment",49020316
"BBN","BABY BUNTING GROUP LIMITED","2015-10-14","Retailing",708317811
"BBT","BLUEBET HOLDINGS LTD",,"Class Pend",0
"BBX","BBX MINERALS LIMITED","2005-08-12","Materials",113720323
"BC8","BLACK CAT SYNDICATE LIMITED","2018-01-30","Materials",88708921
"BCA","BLACK CANYON LIMITED","2021-05-05","Materials",10330797
"BCB","BOWEN COKING COAL LIMITED","1995-06-22","Materials",64578509
"BCC","BEAM COMMUNICATIONS HOLDINGS LIMITED","1986-11-06","Technology Hardware & Equipment",18012708
"BCI","BCI MINERALS LIMITED","2006-12-15","Materials",344545654
"BCK","BROCKMAN MINING LIMITED","2011-01-11","Materials",380448517
"BCN","BEACON MINERALS LIMITED","2006-10-20","Materials",121839889
"BCT","BLUECHIIP LIMITED","2011-06-09","Technology Hardware & Equipment",18534296
"BD1","BARD1 LIFE SCIENCES LIMITED","1991-04-18","Health Care Equipment & Services",147304356
"BDA","BOD AUSTRALIA LIMITED","2016-10-27","Retailing",37567492
"BDC","BARDOC GOLD LIMITED","2007-12-12","Materials",116262244
"BDG","BLACK DRAGON GOLD CORP.","2018-08-29","Materials",9766019
"BDM","BURGUNDY DIAMOND MINES LIMITED","2013-01-04","Materials",71046193
"BEE","BROO LTD","2016-10-14","Food, Beverage & Tobacco",16077800
"BEL","BENTLEY CAPITAL LIMITED","1986-11-07","Not Applic",7156024
"BEM","BLACKEARTH MINERALS NL","2018-01-19","Materials",21899145
"BEN","BENDIGO AND ADELAIDE BANK LIMITED","1985-12-19","Banks",5843537126
"BET","BETMAKERS TECHNOLOGY GROUP LTD","2015-12-11","Consumer Services",962525020
"BEX","BIKEEXCHANGE LIMITED","2021-02-09","Class Pend",71783997
"BEZ","BESRA GOLD INC.",,"Class Pend",0
"BFC","BESTON GLOBAL FOOD COMPANY LIMITED","2015-08-28","Food, Beverage & Tobacco",105334301
"BFG","BELL FINANCIAL GROUP LIMITED","2007-12-12","Diversified Financials",561301909
"BFL","BSP FINANCIAL GROUP LIMITED","2021-05-25","Banks",0
"BGA","BEGA CHEESE LIMITED","2011-08-19","Food, Beverage & Tobacco",1882341234
"BGD","BARTON GOLD HOLDINGS LIMITED",,"Materials",0
"BGL","BELLEVUE GOLD LIMITED","2005-12-20","Materials",753525487
"BGP","BRISCOE GROUP AUSTRALASIA LIMITED","2017-07-20","Retailing",901353015
"BGT","BIO-GENE TECHNOLOGY LTD","2017-11-29","Materials",28805930
"BHD","BENJAMIN HORNIGOLD LIMITED","2017-05-12","Not Applic",7246572
"BHL","BOYUAN HOLDINGS LIMITED","2016-10-31","Real Estate","N/A"
"BHP","BHP GROUP LIMITED","1885-08-13","Materials",137512343165
"BID","BILL IDENTITY LIMITED","2011-01-27","Software & Services",96006387
"BIN","BINGO INDUSTRIES LIMITED","2017-05-03","Commercial & Professional Services",2246517575
"BIQ","BUILDINGIQ, INC","2015-12-17","Software & Services","N/A"
"BIR","BIR FINANCIAL LIMITED","2006-07-31","Diversified Financials",3493766
"BIS","BISALLOY STEEL GROUP LIMITED","2003-06-23","Materials",52863029
"BIT","BIOTRON LIMITED","2001-01-24","Pharmaceuticals, Biotechnology & Life Sciences",36500501
"BKG","BOOKTOPIA GROUP LIMITED","2020-12-03","Retailing",354386991
"BKI","BKI INVESTMENT COMPANY LIMITED","2003-12-12","Not Applic",1171319113
"BKL","BLACKMORES LIMITED","1985-05-02","Household & Personal Products",1389282333
"BKT","BLACK ROCK MINING LIMITED","2003-12-10","Materials",127195773
"BKW","BRICKWORKS LIMITED","1962-06-30","Materials",3595869454
"BKY","BERKELEY ENERGIA LIMITED","2003-09-16","Energy",145029864
"BLD","BORAL LIMITED.","2000-02-21","Materials",8100630557
"BLG","BLUGLASS LIMITED","2006-09-22","Semiconductors & Semiconductor Equipment",28412806
"BLU","BLUE ENERGY LIMITED.","1994-10-13","Energy",87706246
"BLX","BEACON LIGHTING GROUP LIMITED","2014-04-15","Retailing",423194064
"BLY","BOART LONGYEAR LIMITED","2007-04-05","Materials",26996099
"BLZ","BLAZE INTERNATIONAL LIMITED","1996-09-12","Energy",9997503
"BMG","BMG RESOURCES LIMITED","2004-05-12","Materials",12239575
"BMH","BAUMART HOLDINGS LIMITED","2015-06-19","Capital Goods",28948951
"BML","BOAB METALS LIMITED","2004-07-15","Materials",67015083
"BMM","BALKAN MINING AND MINERALS LIMITED",,"Class Pend",0
"BMN","BANNERMAN RESOURCES LIMITED","2005-04-28","Energy",184316356
"BMO","BASTION MINERALS LIMITED","2021-03-16","Materials",14406225
"BMR","BALLYMORE RESOURCES LIMITED",,"Materials",0
"BNL","BLUE STAR HELIUM LIMITED","1994-11-24","Energy",41417076
"BNO","BIONOMICS LIMITED","1999-12-21","Pharmaceuticals, Biotechnology & Life Sciences",206557333
"BNR","BULLETIN RESOURCES LIMITED","2010-12-20","Materials",12012636
"BNZ","BENZ MINING CORP.","2020-12-23","Materials",76413842
"BOA","BOADICEA RESOURCES LIMITED","2012-10-11","Materials",14446973
"BOC","BOUGAINVILLE COPPER LIMITED","1970-12-31","Materials",212563125
"BOE","BOSS ENERGY LTD","2007-07-25","Materials",364524209
"BOL","BOOM LOGISTICS LIMITED","2003-10-14","Capital Goods",62027260
"BOQ","BANK OF QUEENSLAND LIMITED.","1971-08-24","Banks",5934637353
"BOT","BOTANIX PHARMACEUTICALS LTD","1985-01-24","Pharmaceuticals, Biotechnology & Life Sciences",65200519
